frame_id,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,tempo,mfcc1_mean,mfcc2_mean,mfcc3_mean,mfcc4_mean,mfcc5_mean,mfcc6_mean,mfcc7_mean,mfcc8_mean,mfcc9_mean,mfcc10_mean,mfcc11_mean,mfcc12_mean,mfcc13_mean,mfcc14_mean,mfcc15_mean,mfcc16_mean,mfcc17_mean,mfcc18_mean,mfcc19_mean,mfcc20_mean,mfcc1_var,mfcc2_var,mfcc3_var,mfcc4_var,mfcc5_var,mfcc6_var,mfcc7_var,mfcc8_var,mfcc9_var,mfcc10_var,mfcc11_var,mfcc12_var,mfcc13_var,mfcc14_var,mfcc15_var,mfcc16_var,mfcc17_var,mfcc18_var,mfcc19_var,mfcc20_var,genre
ygmTRLtM.18,0.5251376,0.06283074,0.32316574,0.0036473614,3061.803178069319,187460.2323150594,3565.2532485688885,154211.65634932456,6162.213486140725,1324728.729210448,0.0641449560234541,0.0002556727565433,0.00011833423,0.013490663,137.1951219512195,-14.263436,149.65352,-51.179737,31.087772,-16.270098,22.41154,-1.7820642,16.537498,-0.92552024,13.163617,-3.6643014,6.808821,-2.574155,7.9819417,-2.2534325,10.362188,-4.8809423,5.2804027,-3.107971,1.1526449,502.91666,158.22386,126.39734,132.21394,168.78078,56.146538,31.429394,42.04623,62.83129,33.05159,48.940063,43.913864,34.669716,38.73743,29.919218,34.211,31.528769,25.994032,25.731068,30.645014,metal
Kwm8U1Bi.30,0.485808,0.080072835,0.066404484,0.0008892444,3522.7017190387623,2072623.7133925955,4395.519091748937,586715.626883585,7845.665644989339,9168006.85489949,0.0534371251998933,0.0015712829124819,2.1725222e-05,0.00067078386,117.1875,-216.77222,127.25839,-11.961001,23.471548,-19.70927,13.919951,-11.8212805,15.606741,-1.468232,14.607832,-6.203948,8.122956,-0.60251194,10.907341,-4.6224623,6.3890963,-4.2483006,5.967649,-0.3743626,1.9967929,2522.5586,587.2878,195.52339,127.93462,131.54,153.40302,100.06479,125.008934,168.45065,90.392334,102.731674,105.518616,80.908676,62.625652,76.581345,63.789295,99.60028,92.69614,75.050125,67.65336,hiphop
KXArROez.23,0.32886556,0.092298105,0.08136123,0.0025284423,2136.0586301582744,654354.2571381985,2574.993401549877,719841.1965119351,3932.352745202559,3061466.1003426104,0.049224788446162,0.000565393387012,1.255865e-07,0.0007856276,106.13207547169812,-236.78233,176.2236,-33.952663,8.830058,-6.6081657,2.8711424,-20.983583,-0.50983775,-6.162607,-8.203805,-2.5982373,-2.940358,-16.994867,-7.5700593,-8.300572,-8.651217,-0.025017517,-4.1560183,-4.038558,4.0440235,5224.953,1095.246,624.9992,367.20618,371.1898,135.47345,156.59523,149.159,75.49981,107.36018,81.333496,61.424423,135.21701,43.214535,57.637245,58.97067,51.85067,75.155334,98.830154,78.53215,house
3eKzKaMW.47,0.48227128,0.1118161,0.11051698,0.0071499054,3036.820847578369,3037178.0108030634,2972.942244071607,1425164.837798462,5737.896126760564,11481185.764766028,0.0777811399647887,0.0049676182865505,6.8927075e-05,0.002571484,125.0,-212.843,118.88773,-40.868835,32.048424,-10.381285,14.395381,-1.6045012,7.0655847,-0.8693921,5.0773315,1.2353357,2.9775665,2.855606,-0.6519324,2.603403,1.93792,3.0166857,-0.4235346,-5.151816,0.28549442,15787.153,4170.9995,854.23114,1156.5328,245.59119,141.12788,437.99255,75.91376,84.56651,63.89154,88.29638,39.600693,51.27263,55.223545,57.356293,25.414188,26.248283,47.20932,119.86035,84.24203,gabber
giPnPXkG.12,0.62814903,0.065149866,0.32832444,0.016364606,3153.887917140178,1960538.653085587,4034.216699429064,634232.8314553028,7096.215351812367,9620632.185799768,0.0363347881130063,0.0013313078690516,-0.00020198392,0.013309678,98.6842105263158,-122.46317,116.53374,-20.806532,37.142773,-7.498164,29.028343,1.9018528,25.434114,0.21179815,20.351688,2.177498,2.4870958,3.70628,10.72073,2.4873927,10.879669,0.6582821,0.16480325,8.887452,2.3979185,5433.749,778.88635,461.03702,225.77672,283.19183,344.1071,254.86414,206.40146,109.061066,95.72941,109.98495,99.135544,139.52193,94.93076,143.88972,105.94196,91.168564,88.73481,166.59407,77.44295,reggaeton
Kwm8U1Bi.7,0.465652,0.084383264,0.02811545,0.00031777893,2875.205464691076,186448.1343797676,1916.5292872055643,42824.97005232646,4552.4720149253735,262921.40071936755,0.1033157316098081,0.0009667824573967,4.2135716e-06,0.00044150758,122.28260869565216,-330.31528,171.91835,-116.69102,42.02936,18.52059,-16.14283,3.3528395,-4.1624694,-1.8963934,-5.15033,1.2584097,-5.7817965,-1.1852392,-1.8074939,-5.124801,1.177047,-5.808366,-2.330364,-2.0444272,-3.1872694,1537.6353,673.3864,239.23235,132.32285,104.97629,111.91298,80.08245,63.46936,67.19747,66.83425,44.84425,63.004513,53.714245,45.658306,32.856285,47.312733,30.19433,33.51779,40.085045,38.758488,hiphop
kZN3Ydah.9,0.7595244,0.036091343,0.39827162,0.010618203,3351.352683131007,3609222.104219447,4731.297869852493,1524896.1884049063,7554.970682302772,23186568.25523722,0.0332916194696162,0.0022851366452228,0.0003355276,0.024513384,152.02702702702703,-128.38129,120.996544,6.5766997,28.986732,4.895438,15.221386,-4.7941256,19.633562,-8.528988,23.974676,0.28166494,23.96636,0.68894166,16.926949,-5.4273276,9.20776,-0.53294975,12.173962,1.9301156,7.540677,9944.346,1020.1945,1592.844,131.56796,488.69672,90.53253,205.98251,82.98558,124.0703,111.375,81.93626,143.63196,57.083885,76.4151,48.094128,62.549202,46.38008,74.61647,37.146313,39.178814,hardstyle
sRZGR4ao.34,0.18700516,0.07323354,0.0028355818,1.8070688e-05,2620.308289009252,3476518.8441466205,2796.892254497087,3914869.04423834,5750.029705323194,17041968.283115335,0.0455883881891635,0.0011521264701514,-6.224465e-07,7.226168e-07,144.23076923076923,-619.2756,73.91146,-28.898668,7.296011,-25.176968,0.66352713,-15.290223,-5.2682595,-8.061,-0.24070942,3.5159822,1.7626256,7.6122823,6.0474935,7.9218183,6.9384007,2.792326,4.288623,2.6805418,-1.3945465,31240.611,3016.9648,627.78467,161.3698,404.98975,63.814533,173.75993,35.710697,59.742325,26.706575,18.248613,23.562262,50.12401,35.43383,53.305943,39.008213,20.115309,21.700537,18.667864,10.352052,techno
tOFCRWLX.9,0.5560889,0.10690659,0.049986385,0.002188535,3109.3827735476607,1263408.2999141018,3382.0494375652934,549088.221624051,6161.164045842217,5856158.93471776,0.0515922757862473,0.0017149987739026,-1.0301912e-05,0.0016024166,93.75,-299.18307,117.34575,-34.058872,36.865147,-1.8989547,6.0998697,-2.093091,5.1326103,-3.0541337,-0.09163733,-0.9286425,4.052984,4.2666717,-3.5455601,7.5064397,2.4907343,2.2079158,1.9891771,2.8349967,3.6231568,5464.001,1330.197,868.2134,886.0761,318.22287,296.37128,180.06432,298.09167,95.71306,128.1648,128.03764,172.35335,131.38916,55.626064,139.65837,89.359375,102.58423,62.962177,53.96395,58.146305,hiphop
X22AJPAY.20,0.55183107,0.068531215,0.3518106,0.003865719,3689.608249146256,930588.2328370748,4122.884569099631,271114.13486152067,7857.859141791045,4235161.73448166,0.068693571761727,0.0009040503595303,-0.00046096137,0.013937025,119.6808510638298,-11.297398,126.91283,-38.40934,40.10291,-7.775794,34.46078,-8.213862,20.31338,-7.179048,17.236664,0.80467844,10.994358,1.412942,8.803473,-2.9745123,7.044492,-4.37055,3.9922764,-1.5658495,8.314976,527.2784,408.69684,115.15675,78.07073,83.67915,64.70394,45.94613,63.01007,37.958702,30.40037,53.20289,37.59979,36.684925,20.802538,27.722801,26.035725,33.0054,36.738884,28.66174,34.124477,metal
